# -------------------------------------------------------
# App: com.sudoku327, date: 20131208-20131209
# -------------------------------------------------------

date,carrier,daily_avg_rating,total_avg_rating
20131209,Virgin Mobile,0.0,5.0
20131209,Sprint,0.0,3.0
