# -------------------------------------------------------
# App: com.sudoku327, date: 20131208-20131209
# -------------------------------------------------------

date,device,daily_avg_rating,total_avg_rating
20131209,Samsung Galaxy Victory (goghvmu),0.0,5.0
20131209,Samsung Galaxy S3 (d2spr),0.0,1.0
20131209,Google Nexus S (crespo4g),0.0,5.0
